"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"195","SIERRA ","CA ",18,0,"HMO ",54340,473740,871.807140228193
"196","SISKIYOU ","CA ",14,1,"HMO ",145950,77980,53.4292565947242
"197","SOLANO ","CA ",47,3,"HMO ",2239221,262260,11.7121088092689
"198","SONOMA ","CA ",49,3,"HMO ",3334352,273910,8.21478956031037
"199","STANISLAUS ","CA ",42,2,"HMO ",2642178,235200,8.90174696784244
"200","SUTTER ","CA ",13,1,"HMO ",164658,72930,44.2918048318333
"201","TEHAMA ","CA ",14,1,"HMO ",145432,78680,54.1008856372738
"202","TRINITY ","CA ",18,1,"HMO ",64130,423828,660.888819585218
"203","TULARE ","CA ",30,2,"HMO ",1388940,169200,12.1819517041773
"204","TUOLUMNE ","CA ",18,1,"HMO ",216702,101700,46.9308082066617
"205","VENTURA ","CA ",66,3,"HMO ",6506082,373560,5.74170445438591
"206","YOLO ","CA ",21,5,"HMO ",429744,119070,27.7071931196247
"207","YUBA ","CA ",13,1,"HMO ",115869,73840,63.7271401323909
"208","ADAMS ","CO ",122,13,"HCPP ",2211076,2834090,128.176959995948
"209","ALAMOSA ","CO ",5,2,"COST ",9910,30050,303.229061553986
"210","ARAPAHOE ","CO ",57,3,"HMO ",3086892,343140,11.1160351576926
"211","ARCHULETA ","CO ",10,1,"COST ",18750,60300,321.6
"212","BACA ","CO ",2,0,"PPO ",2104,12080,574.144486692015
"213","BENT ","CO ",8,1,"COST ",7400,48400,654.054054054054
"214","BOULDER ","CO ",43,3,"HCPP ",1468579,260580,17.7436828389893
"215","CHAFFEE ","CO ",13,1,"COST ",44070,78910,179.05604719764
"216","CHEYENNE ","CO ",6,0,"COST ",5904,102700,1739.49864498645
"217","CLEAR CREEK ","CO ",7,3,"COST ",4466,42630,954.545454545455
"218","CONEJOS ","CO ",6,2,"COST ",9198,36600,397.912589693412
"219","COSTILLA ","CO ",6,2,"COST ",5358,36660,684.21052631579
"220","CROWLEY ","CO ",3,1,"COST ",1986,18360,924.471299093656
"221","CUSTER ","CO ",26,2,"COST ",50070,674290,1346.69462752147
"222","DELTA ","CO ",22,3,"HCPP ",141972,372280,262.220719578508
"223","DENVER ","CO ",51,5,"HCPP ",3660678,313650,8.56808492852963
"224","DOLORES ","CO ",2,1,"COST ",816,12320,1509.80392156863
"225","DOUGLAS ","CO ",210,26,"COST ",4135594,5335810,129.021610922155
"226","EAGLE ","CO ",16,1,"COST ",31872,98880,310.240963855422
"227","ELBERT ","CO ",16,3,"COST ",42260,130480,308.755324183625
"228","EL PASO ","CO ",109,7,"HCPP ",7957359,2600520,32.680692174376
"229","FREMONT ","CO ",32,2,"COST ",194268,649080,334.115757613194
"230","GARFIELD ","CO ",36,2,"HCPP ",187732,984940,524.652163722754
"231","GILPIN ","CO ",7,2,"COST ",1659,43610,2628.69198312236
"232","GRAND ","CO ",14,3,"COST ",18047,286610,1588.13099130049
"233","GUNNISON ","CO ",8,0,"HCPP ",9304,50000,537.403267411866
"234","HINSDALE ","CO ",1,0,"COST ",132,6260,4742.42424242424
"235","HUERFANO ","CO ",9,2,"HCPP ",15732,56430,358.695652173913
"236","KIOWA ","CO ",5,0,"HMO ",5550,93640,1687.20720720721
"237","KIT CARSON ","CO ",5,1,"COST ",6525,31550,483.524904214559
"238","LA PLATA ","CO ",16,1,"COST ",90848,101280,111.482916519901
"239","LARIMER ","CO ",42,3,"COST ",1360674,266280,19.5697132450536
"240","LAS ANIMAS ","CO ",12,3,"HCPP ",39132,76200,194.725544311561
"241","LINCOLN ","CO ",175,16,"COST ",1010495,5708590,564.930059030475
"242","MESA ","CO ",31,2,"HCPP ",724997,197780,27.2801128832257
"243","MINERAL ","CO ",14,3,"COST ",22112,402740,1821.36396526773
"244","MOFFAT ","CO ",6,1,"COST ",9654,38400,397.762585456805
"245","MONTEZUMA ","CO ",12,1,"COST ",52224,76920,147.288602941176
"246","MONTROSE ","CO ",16,1,"COST ",109536,102720,93.7773882559159
"247","OTERO ","CO ",22,3,"COST ",154058,476170,309.084890106324
"248","OURAY ","CO ",4,1,"COST ",2220,25800,1162.16216216216
"249","PARK ","CO ",26,4,"COST ",78322,734170,937.373917928551
"250","PITKIN ","CO ",6,1,"COST ",6984,38880,556.701030927835
"251","PROWERS ","CO ",5,1,"COST ",10700,32450,303.271028037383
"252","PUEBLO ","CO ",29,3,"HCPP ",807766,188500,23.3359661089969
"253","RIO BLANCO ","CO ",5,1,"COST ",4370,32550,744.851258581236
"254","RIO GRANDE ","CO ",19,5,"COST ",90807,464580,511.612540883412
"255","ROUTT ","CO ",15,0,"HCPP ",22920,97950,427.356020942408
"256","SAGUACHE ","CO ",4,2,"COST ",3572,26160,732.362821948488
"257","SAN JUAN ","CO ",86,6,"HMO ",3865500,3327610,86.084853188462
"258","SAN MIGUEL ","CO ",11,2,"COST ",51083,328860,643.775815829141
"259","SEDGWICK ","CO ",39,1,"COST ",2218661,651380,29.3591495050393
"260","SUMMIT ","CO ",68,10,"COST ",3622287,2240460,61.8520840562882
"261","TELLER ","CO ",15,2,"COST ",40320,98850,245.16369047619
"262","WELD ","CO ",21,2,"HCPP ",460152,138810,30.1661190215407
"263","BROOMFIELD ","CO ",15,0,"COST ",17970,99450,553.422370617696
"264","FAIRFIELD ","CT ",87,4,"PPO ",8763363,1240710,14.1579208803744
"265","HARTFORD ","CT ",56,1,"PPO ",8099168,392560,4.84691760931493
"266","LITCHFIELD ","CT ",22,0,"HMO ",682638,154440,22.6239969061201
"267","MIDDLESEX ","CT ",168,8,"HMO ",23539611,3922660,16.6640816621821
"268","NEW HAVEN ","CT ",52,2,"PPO ",7033988,366080,5.20444447730079
"269","NEW LONDON ","CT ",28,0,"HMO ",1163260,197400,16.9695510891804
"270","TOLLAND ","CT ",18,0,"HMO ",316710,127080,40.125035521455
"271","WINDHAM ","CT ",28,1,"HMO ",378525,638510,168.683706492306
"272","KENT ","DE ",95,6,"PPO ",4229787,2174853,51.4175536498646
"273","NEW CASTLE ","DE ",56,1,"HCPP ",4021416,448560,11.1542799849605
"274","SUSSEX ","DE ",58,3,"COST ",1552975,1267690,81.6297751090649
"275","DISTRICT OF COLUMBIA ","DC ",41,2,"HCPP ",3181477,369000,11.5983865355619
"276","ALACHUA ","FL ",25,0,"HCPP ",749200,250000,33.3689268553123
"277","BAKER ","FL ",22,2,"HMO ",75653,557110,736.401728946638
"278","BAY ","FL ",43,0,"HMO ",1079063,613700,56.8734170294042
"279","BRADFORD ","FL ",17,2,"HCPP ",165343,519710,314.322348088519
"280","BREVARD ","FL ",89,4,"HCPP ",9863247,893560,9.05949126083936
"281","BROWARD ","FL ",152,8,"HCPP ",37792824,1527600,4.04203718674212
"282","CHARLOTTE ","FL ",74,1,"HCPP ",2904020,901660,31.0486842377119
"283","CITRUS ","FL ",61,0,"HCPP ",2445307,614880,25.1453089530272
"284","COLLIER ","FL ",95,0,"HMO ",5675775,959500,16.9051803498201
"285","MIAMI-DADE ","FL ",103,13,"HMO ",35774784,1042360,2.91367237884651
"286","DE SOTO ","FL ",29,2,"HCPP ",145593,365930,251.337632990597
"287","DIXIE ","FL ",9,0,"HMO ",27918,91260,326.885880077369
"288","DUVAL ","FL ",74,3,"HCPP ",7689470,821680,10.6857819849743
"289","FLAGLER ","FL ",34,2,"HMO ",682176,345780,50.6877990430622
"290","GADSDEN ","FL ",14,2,"COST ",108346,142660,131.67075849593
"291","GILCHRIST ","FL ",11,0,"HCPP ",30360,112200,369.565217391304
"292","GLADES ","FL ",15,1,"HMO ",16500,153150,928.181818181818
"293","GULF ","FL ",6,0,"HCPP ",17298,61320,354.491848768644
"294","HAMILTON ","FL ",149,11,"HMO ",11455909,4692130,40.9581640356955
"295","HARDEE ","FL ",8,0,"HCPP ",28664,81920,285.794027351382
"296","HENDRY ","FL ",21,0,"HMO ",92085,215250,233.751425313569
"297","HERNANDO ","FL ",53,5,"HCPP ",2446745,543780,22.2246290479801
"298","HIGHLANDS ","FL ",55,0,"HCPP ",1522400,564850,37.1026011560694
"299","HILLSBOROUGH ","FL ",153,6,"HCPP ",20267298,2245020,11.0770562509122
"300","HOLMES ","FL ",18,3,"HCPP ",66352,427760,644.682903303593
"301","INDIAN RIVER ","FL ",39,2,"HMO ",1322529,401700,30.3736250774085
"302","LAFAYETTE ","FL ",37,4,"HMO ",448637,1099570,245.091243031671
"303","LEON ","FL ",33,3,"COST ",744665,483464,64.9236905185553
"304","LEVY ","FL ",20,0,"HMO ",156080,207400,132.880574064582
"305","LIBERTY ","FL ",22,3,"COST ",158889,744071,468.296106086639
"306","MANATEE ","FL ",80,3,"HCPP ",4724720,832000,17.6095091349329
"307","MARTIN ","FL ",82,7,"HCPP ",2230442,1151304,51.6177511004545
"308","NASSAU ","FL ",98,3,"HMO ",18031068,2859920,15.8610682406611
"309","OKALOOSA ","FL ",30,0,"HCPP ",851220,313500,36.8294917882569
"310","OKEECHOBEE ","FL ",22,2,"HMO ",167464,230120,137.414608512874
"311","OSCEOLA ","FL ",75,2,"HCPP ",2131781,850460,39.8943418671993
"312","PALM BEACH ","FL ",150,6,"HCPP ",38201400,1573500,4.11895899103174
"313","PASCO ","FL ",104,5,"HCPP ",9611576,1092000,11.3613001655504
"314","PINELLAS ","FL ",133,5,"HCPP ",26641629,1397830,5.24678877556624
"315","PUTNAM ","FL ",85,3,"HCPP ",905609,2131222,235.335779569329
"316","SAINT JOHNS ","FL ",40,1,"HMO ",1069000,421600,39.4387277829747
"317","SAINT LUCIE ","FL ",63,3,"HCPP ",3043278,664650,21.8399370678591
"318","SANTA ROSA ","FL ",25,1,"HMO ",504575,264000,52.3212604667294
"319","SARASOTA ","FL ",94,2,"HCPP ",10510234,993580,9.45345270143367
"320","SEMINOLE ","FL ",72,4,"HCPP ",2917005,928053,31.8152694287463
"321","SUWANNEE ","FL ",18,0,"HMO ",150732,190800,126.582278481013
"322","TAYLOR ","FL ",43,6,"HMO ",335508,1416816,422.289781465718
"323","VOLUSIA ","FL ",102,2,"HCPP ",11221326,1084260,9.66249443247616
"324","WAKULLA ","FL ",7,2,"COST ",28805,74480,258.566221142163
"325","WALTON ","FL ",31,1,"HCPP ",258774,346790,134.01269061034
"326","APPLING ","GA ",3,1,"PFFS ",8139,33000,405.455215628456
"327","ATKINSON ","GA ",2,0,"HMO ",2318,22020,949.956859361519
"328","BACON ","GA ",1,0,"PFFS ",1628,11011,676.351351351351
"329","BANKS ","GA ",5,2,"PFFS ",9055,55200,609.607951408062
"330","BARROW ","GA ",14,2,"PFFS ",95676,154700,161.691542288557
"331","BARTOW ","GA ",13,2,"PFFS ",146627,143780,98.0583385051866
"332","BEN HILL ","GA ",3,0,"HMO ",9216,33210,360.3515625
"333","BERRIEN ","GA ",23,0,"PFFS ",626454,495240,79.0544876399544
"334","BLECKLEY ","GA ",1,0,"PFFS ",2021,11100,549.233052944087
"335","BRANTLEY ","GA ",4,1,"PFFS ",8880,44440,500.45045045045
"336","BROOKS ","GA ",5,0,"HMO ",10036,123780,1233.35990434436
"337","BRYAN ","GA ",13,1,"PFFS ",64817,300270,463.258095869911
"338","BULLOCH ","GA ",6,0,"PFFS ",38544,66840,173.412204234122
"339","BURKE ","GA ",16,2,"PFFS ",154144,432860,280.815341498858
"340","BUTTS ","GA ",5,2,"PPO ",18025,55800,309.570041608877
"341","CAMDEN ","GA ",75,6,"PFFS ",3328831,2032620,61.0610751942649
"342","CANDLER ","GA ",2,0,"PFFS ",3362,22360,665.080309339679
"343","CATOOSA ","GA ",10,1,"PFFS ",62430,112000,179.400929040525
"344","CHARLTON ","GA ",4,1,"PFFS ",6420,44840,698.442367601246
"345","CHATHAM ","GA ",47,4,"PFFS ",1214419,894700,73.6730897655587
"346","CHATTAHOOCHEE ","GA ",2,1,"PFFS ",930,22460,2415.05376344086
"347","CHATTOOGA ","GA ",1,0,"PFFS ",4875,11240,230.564102564103
"348","CLAYTON ","GA ",37,4,"PPO ",775973,451870,58.2326962407197
"349","CLINCH ","GA ",1,0,"PFFS ",1123,11281,1004.54140694568
"350","COBB ","GA ",54,2,"HCPP ",3508056,609660,17.3788559817745
"351","COLQUITT ","GA ",8,0,"PFFS ",54032,90400,167.308261770802
"352","COOK ","GA ",150,5,"PFFS ",93586406,2209920,2.36136859449438
"353","COWETA ","GA ",19,2,"PPO ",228133,215080,94.2783376363788
"354","CRISP ","GA ",8,1,"PFFS ",29840,90720,304.02144772118
"355","DADE ","GA ",12,1,"PFFS ",27786,225726,812.373137551285
"356","DAWSON ","GA ",16,3,"PFFS ",44275,398212,899.405985319029
"357","DECATUR ","GA ",24,2,"PFFS ",80221,520650,649.019583400855
"358","DEKALB ","GA ",88,5,"PPO ",4239124,1350020,31.8466739826436
"359","DODGE ","GA ",35,5,"HMO ",218068,1089890,499.793642350093
"360","DOOLY ","GA ",3,0,"HCPP ",5394,34143,632.981090100111
"361","DOUGHERTY ","GA ",15,1,"PFFS ",227910,170850,74.9638015005923
"362","EARLY ","GA ",5,1,"PFFS ",10460,57050,545.411089866157
"363","EFFINGHAM ","GA ",13,1,"PFFS ",67601,165927,245.450511087114
"364","EMANUEL ","GA ",6,1,"PFFS ",24576,68640,279.296875
"365","EVANS ","GA ",3,1,"PFFS ",5421,34323,633.148865522966
"366","FANNIN ","GA ",14,1,"PFFS ",78484,432780,551.424494164416
"367","FLOYD ","GA ",36,2,"PPO ",317083,821141,258.967210478014
"368","FORSYTH ","GA ",49,4,"HMO ",1779502,1270528,71.397952910421
"369","GILMER ","GA ",10,2,"PFFS ",37521,233597,622.576690386717
"370","GLYNN ","GA ",13,0,"PFFS ",161369,149370,92.5642471602352
"371","GORDON ","GA ",10,0,"PFFS ",71870,115000,160.011131209128
"372","GRADY ","GA ",22,2,"PFFS ",108779,484880,445.74780058651
"373","GWINNETT ","GA ",60,2,"HMO ",2700420,691800,25.618237163108
"374","HABERSHAM ","GA ",10,1,"PFFS ",68180,115400,169.257846875917
"375","HALL ","GA ",22,5,"PFFS ",337168,406013,120.418604375267
"376","HANCOCK ","GA ",71,7,"PPO ",499817,1839610,368.056708755404
"377","HARALSON ","GA ",8,1,"PFFS ",38872,92560,238.114838444124
"378","HARRIS ","GA ",115,4,"PFFS ",36155514,5006940,13.8483441280907
"379","HART ","GA ",13,1,"PFFS ",44891,198916,443.108863692054
"380","HEARD ","GA ",4,1,"PFFS ",5360,46360,864.925373134328
"381","IRWIN ","GA ",3,0,"PFFS ",4149,34803,838.82863340564
"382","JASPER ","GA ",63,6,"PFFS ",604260,1716355,284.042465164002
"383","JEFF DAVIS ","GA ",4,1,"PFFS ",7172,80527,1122.79698828779
"384","JENKINS ","GA ",4,0,"HCPP ",5860,46520,793.856655290102
"385","JONES ","GA ",30,6,"PPO ",142945,754757,528.005176816258
"386","LANIER ","GA ",4,0,"PFFS ",3884,46608,1200
"387","LAURENS ","GA ",22,2,"PFFS ",212190,593450,279.678589942976
"388","LONG ","GA ",2,0,"PFFS ",1566,23382,1493.10344827586
"389","LUMPKIN ","GA ",6,1,"PFFS ",17388,70206,403.76121463078
"390","MCDUFFIE ","GA ",4,0,"PFFS ",13408,46808,349.105011933174
"391","MCINTOSH ","GA ",13,0,"PFFS ",56226,433156,770.383808202611
"392","MERIWETHER ","GA ",6,1,"PFFS ",21750,70440,323.862068965517
"393","MITCHELL ","GA ",18,2,"PFFS ",47957,493258,1028.54223575286
"394","MURRAY ","GA ",16,1,"PFFS ",42480,418766,985.795668549906
"395","MUSCOGEE ","GA ",21,1,"PFFS ",578424,247380,42.7679349404589
"396","OCONEE ","GA ",20,3,"PFFS ",205172,602720,293.763281539391
"397","OGLETHORPE ","GA ",5,0,"HMO ",6425,59005,918.365758754864
"398","PAULDING ","GA ",21,2,"PFFS ",130431,322500,247.257170457943
"399","PEACH ","GA ",3,1,"PFFS ",13389,35433,264.642617073717
"400","PIERCE ","GA ",76,7,"PFFS ",5781111,3627490,62.7472816211278
"401","QUITMAN ","GA ",6,1,"PFFS ",5286,98512,1863.63980325388
"402","RABUN ","GA ",4,0,"PFFS ",13080,47336,361.896024464832
"403","RICHMOND ","GA ",90,10,"PFFS ",4113508,2346900,57.0534930283349
"404","ROCKDALE ","GA ",16,2,"PPO ",139584,189456,135.729023383769
"405","SCHLEY ","GA ",1,0,"HCPP ",535,11842,2213.45794392523
"406","SCREVEN ","GA ",4,0,"PFFS ",10340,47400,458.413926499033
"407","SPALDING ","GA ",11,1,"PPO ",107294,130460,121.591142095551
"408","STEPHENS ","GA ",23,1,"PFFS ",135693,589696,434.581002704635
"409","STEWART ","GA ",11,2,"PFFS ",22529,393986,1748.79488659062
"410","TALBOT ","GA ",9,1,"PFFS ",61067,172160,281.919858516056
"411","TALIAFERRO ","GA ",2,0,"PFFS ",814,23762,2919.16461916462
"412","TATTNALL ","GA ",6,0,"HMO ",21276,71292,335.081782289904
"413","TELFAIR ","GA ",3,0,"HMO ",7224,35652,493.521594684385
"414","TERRELL ","GA ",2,1,"PFFS ",3586,23770,662.855549358617
"415","THOMAS ","GA ",13,1,"PFFS ",91027,183670,201.775297439221
"416","TIFT ","GA ",10,0,"PFFS ",62530,119000,190.308651847113
"417","TOOMBS ","GA ",4,0,"PFFS ",19380,47604,245.634674922601
"418","TOWNS ","GA ",9,0,"HCPP ",27423,107118,390.613718411552
"419","TREUTLEN ","GA ",3,0,"PFFS ",3357,35709,1063.71760500447
"420","TROUP ","GA ",11,1,"PFFS ",110033,131010,119.064280715785
"421","TURNER ","GA ",9,1,"HMO ",15711,297453,1893.27859461524
"422","TWIGGS ","GA ",2,1,"PFFS ",3142,23824,758.243157224698
"423","UPSON ","GA ",9,2,"PPO ",42516,107280,252.328535139712
"424","WARE ","GA ",3,0,"PFFS ",22572,35820,158.692185007974
"425","WARREN ","GA ",151,19,"PFFS ",1611795,4704179,291.85963475504
"426","WAYNE ","GA ",194,12,"PFFS ",21196608,5782262,27.2791854243849
"427","WEBSTER ","GA ",39,7,"PFFS ",213518,924876,433.160670294776
"428","WHEELER ","GA ",7,1,"PFFS ",2714,223142,8221.88651436993
"429","WHITFIELD ","GA ",10,0,"PFFS ",127310,119700,94.0224648495798
"430","WILKES ","GA ",11,2,"PFFS ",95659,292608,305.88653446095
"431","WILKINSON ","GA ",11,1,"HMO ",20282,242159,1193.96016171975
"432","WORTH ","GA ",4,1,"PFFS ",8712,57900,664.600550964187
"433","HAWAII ","HI ",27,2,"HMO ",686367,324270,47.244404232721
"434","HONOLULU ","HI ",42,3,"HMO ",5748582,504840,8.78199180250017
"435","KAUAI ","HI ",16,2,"COST ",151936,192640,126.790227464195
"436","MAUI ","HI ",20,2,"HMO ",348740,241000,69.105924184206
"437","ADA ","ID ",48,3,"HMO ",1915104,624000,32.5830868715224
"438","BANNOCK ","ID ",16,2,"PPO ",162224,208320,128.415031068153
"439","BEAR LAKE ","ID ",3,1,"HCPP ",3453,39090,1132.05907906169
"440","BENEWAH ","ID ",4,2,"COST ",7564,52160,689.58223162348
"441","BINGHAM ","ID ",6,1,"HCPP ",33672,78300,232.537419814683
"442","BLAINE ","ID ",14,0,"HMO ",23477,311670,1327.55462793372
"443","BOISE ","ID ",5,1,"HMO ",4270,65350,1530.44496487119
"444","BONNER ","ID ",18,3,"COST ",121104,235440,194.411414982164
"445","BONNEVILLE ","ID ",15,0,"HCPP ",178170,196350,110.203738003031
"446","BOUNDARY ","ID ",8,2,"COST ",15216,104800,688.748685594111
"447","CANYON ","ID ",32,4,"HMO ",665888,420160,63.0976981113941
"448","CARIBOU ","ID ",7,0,"HMO ",8379,91980,1097.74436090226
"449","CASSIA ","ID ",9,1,"PFFS ",28044,118350,422.01540436457
"450","CLEARWATER ","ID ",14,5,"COST ",25137,261170,1038.98635477583
"451","GEM ","ID ",12,3,"COST ",36696,158640,432.308698495749
"452","GOODING ","ID ",7,1,"PFFS ",16632,92610,556.818181818182
"453","IDAHO ","ID ",10,2,"COST ",30650,132400,431.973898858075
"454","JEROME ","ID ",6,2,"PFFS ",15696,79560,506.880733944954
"455","KOOTENAI ","ID ",31,4,"HMO ",643498,411370,63.9271606127758
"456","LATAH ","ID ",7,2,"COST ",28602,92960,325.01223690651
"457","LEMHI ","ID ",9,0,"HMO ",15579,119610,767.764298093588
"458","LEWIS ","ID ",44,8,"COST ",318050,1793112,563.783052979091
"459","MINIDOKA ","ID ",7,1,"HCPP ",22330,93310,417.868338557994
"460","NEZ PERCE ","ID ",9,3,"PPO ",71028,120060,169.031931069437
"461","ONEIDA ","ID ",39,6,"PPO ",1194242,1531310,128.22443022436
"462","OWYHEE ","ID ",8,2,"COST ",11512,106880,928.422515635858
"463","PAYETTE ","ID ",10,3,"COST ",34320,133700,389.568764568765
"464","POWER ","ID ",5,1,"HCPP ",4710,66900,1420.3821656051
"465","SHOSHONE ","ID ",4,2,"COST ",12680,53560,422.397476340694
"466","TETON ","ID ",10,1,"PFFS ",12743,361130,2833.94804990975
"467","TWIN FALLS ","ID ",12,1,"PFFS ",136908,160920,117.538785169603
"468","VALLEY ","ID ",16,2,"COST ",24081,303370,1259.78987583572
"469","ALEXANDER ","IL ",14,3,"PFFS ",62890,396140,629.893464779774
"470","BOND ","IL ",8,0,"DEMP ",23880,112160,469.681742043551
"471","BROWN ","IL ",72,11,"PFFS ",907178,2668380,294.140730926015
"472","BUREAU ","IL ",7,1,"DEMP ",48013,98350,204.840355736988
"473","CASS ","IL ",96,13,"PFFS ",796009,2538570,318.912223354259
"474","CHAMPAIGN ","IL ",29,1,"PFFS ",506851,562680,111.014874193797
"475","CHRISTIAN ","IL ",38,3,"HCPP ",327113,791510,241.968371785897
"476","CLINTON ","IL ",80,7,"HCPP ",588773,2001590,339.95954298176
"477","COLES ","IL ",11,0,"HCPP ",89309,155540,174.159379233896
"478","CUMBERLAND ","IL ",150,6,"PFFS ",4485081,5020822,111.944957069895
"479","DEWITT ","IL ",6,2,"DEMP ",18492,85080,460.090850097339
"480","DUPAGE ","IL ",61,1,"HMO ",6420372,869250,13.5389351271235
"481","EDGAR ","IL ",11,2,"PFFS ",42097,157410,373.922132218448
"482","EDWARDS ","IL ",5,0,"PFFS ",5933,74510,1255.85707062195
"483","FORD ","IL ",9,2,"HMO ",26382,135010,511.750435903267
"484","GALLATIN ","IL ",27,1,"COST ",169463,655606,386.872650667107
"485","GRUNDY ","IL ",23,7,"HCPP ",97796,504510,515.879995091824
"486","HARDIN ","IL ",60,3,"HCPP ",538433,1700612,315.844682625322
"487","HENDERSON ","IL ",54,5,"DEMP ",879292,1897880,215.841836386547
"488","IROQUOIS ","IL ",10,1,"HCPP ",63970,144600,226.043457870877
"489","JERSEY ","IL ",10,0,"HMO ",32730,145000,443.018637335778
"490","JO DAVIESS ","IL ",13,3,"PFFS ",62283,188630,302.859528282196
"491","KANE ","IL ",46,2,"HMO ",2000210,826330,41.3121622229666
"492","KANKAKEE ","IL ",13,0,"HCPP ",232089,189020,81.4428947515824
"493","KENDALL ","IL ",31,3,"HMO ",172533,949946,550.588003454412
"494","KNOX ","IL ",81,9,"HCPP ",2760008,2730924,98.9462349384495
"495","LA SALLE ","IL ",21,0,"DEMP ",361506,351483,97.2274319098438
"496","LIVINGSTON ","IL ",70,9,"DEMP ",773644,1590040,205.526055912022
"497","MCDONOUGH ","IL ",9,1,"PFFS ",45171,131670,291.492329149233
"498","MCHENRY ","IL ",44,1,"HMO ",1310252,747160,57.0241449736387
"499","MCLEAN ","IL ",23,4,"DEMP ",327463,411080,125.534793243817
"500","MACOUPIN ","IL ",11,0,"HCPP ",108141,161370,149.221849252365
"501","MASON ","IL ",48,2,"DEMP ",360553,1776730,492.779147587179
"502","MASSAC ","IL ",3,0,"HCPP ",9465,44160,466.561014263074
"503","MENARD ","IL ",5,0,"HCPP ",8515,104713,1229.74750440399
"504","MERCER ","IL ",98,7,"PFFS ",2981857,3279081,109.967748285716
"505","MOULTRIE ","IL ",8,2,"PFFS ",25264,118240,468.017732742242
"506","OGLE ","IL ",14,2,"PFFS ",114912,207060,180.190058479532
"507","PEORIA ","IL ",24,3,"HCPP ",732792,355200,48.4721448924115
"508","PIATT ","IL ",6,1,"PFFS ",19254,88920,461.826114054223
"509","RICHLAND ","IL ",74,9,"PFFS ",2030101,2865980,141.174256847319
"510","ROCK ISLAND ","IL ",16,2,"COST ",429040,238240,55.528622039903
"511","SANGAMON ","IL ",21,0,"HCPP ",657216,313320,47.6738241308793
"512","SCHUYLER ","IL ",16,2,"HCPP ",33093,387407,1170.66146919288
"513","STARK ","IL ",39,4,"DEMP ",2210264,1300510,58.8395775346293
"514","STEPHENSON ","IL ",8,1,"PFFS ",79264,119760,151.090028259992
"515","TAZEWELL ","IL ",20,4,"HCPP ",428452,404420,94.3909702837191
"516","VERMILION ","IL ",16,2,"HCPP ",217238,267180,122.98953221812
"517","WABASH ","IL ",13,2,"COST ",68750,202492,294.533818181818
"518","WHITESIDE ","IL ",11,2,"COST ",132330,164868,124.588528678304
"519","WILL ","IL ",43,0,"HCPP ",2497999,644527,25.8017317060575
"520","WILLIAMSON ","IL ",74,5,"HCPP ",1583522,2943100,185.857853569448
"521","WINNEBAGO ","IL ",52,8,"PFFS ",1858946,1352813,72.7731198216624
"522","WOODFORD ","IL ",18,3,"PFFS ",78606,301856,384.01139862097
"523","ALLEN ","IN ",55,2,"HCPP ",1649887,1060500,64.2771292821872
"524","BARTHOLOMEW ","IN ",8,0,"HCPP ",94648,120160,126.95461076832
"525","BLACKFORD ","IN ",3,0,"HCPP ",7875,45120,572.952380952381
"526","DAVIESS ","IN ",21,0,"HCPP ",206243,405180,196.457576741999
"527","DEARBORN ","IN ",11,0,"PFFS ",77572,166540,214.690867838911
"528","DELAWARE ","IN ",93,11,"HCPP ",4003048,3114590,77.8054622377748
"529","DUBOIS ","IN ",5,0,"HCPP ",31770,75900,238.90462700661
"530","ELKHART ","IN ",18,1,"HCPP ",449370,273420,60.8451832565592
"531","FOUNTAIN ","IN ",4,1,"COST ",15192,60880,400.737230121116
"532","GIBSON ","IN ",15,2,"HCPP ",127242,489840,384.967227802141
"533","HARRISON ","IN ",75,5,"HMO ",1037722,2330630,224.590979086885
"534","HENDRICKS ","IN ",17,1,"DEMP ",231217,260270,112.565252554959
"535","HUNTINGTON ","IN ",11,2,"PFFS ",74404,168740,226.788882318155
"536","JAY ","IN ",4,0,"HMO ",16472,61480,373.239436619718
"537","JENNINGS ","IN ",6,0,"HCPP ",25068,92340,368.358066060316
"538","KOSCIUSKO ","IN ",14,1,"PFFS ",152264,215880,141.780066200809
"539","LAGRANGE ","IN ",8,1,"PFFS ",32680,123440,377.723378212974
"540","LA PORTE ","IN ",13,0,"HCPP ",229385,200850,87.5602153584585
"541","MIAMI ","IN ",28,5,"HCPP ",262605,690910,263.098570095771
"542","NOBLE ","IN ",17,2,"HCPP ",67279,457620,680.182523521455
"543","OHIO ","IN ",19,4,"HMO ",128729,641140,498.054051534619
"544","OWEN ","IN ",10,0,"HCPP ",23020,172600,749.782797567333
"545","PARKE ","IN ",3,0,"HCPP ",8916,46800,524.899057873486
"546","PORTER ","IN ",17,0,"HCPP ",346103,265710,76.7719436121617
"547","POSEY ","IN ",7,1,"PFFS ",27090,109480,404.134366925065
"548","RIPLEY ","IN ",11,0,"HMO ",46326,228580,493.416224150585
"549","RUSH ","IN ",6,0,"HCPP ",13746,98400,715.844609340899
"550","ST JOSEPH ","IN ",30,3,"PFFS ",1245690,471000,37.8103701562989
"551","SPENCER ","IN ",7,1,"COST ",17138,123110,718.345197806045
"552","STARKE ","IN ",10,0,"HCPP ",41830,157400,376.284962945255
"553","STEUBEN ","IN ",21,3,"PFFS ",295393,581910,196.995189459466
